texto_anuncio_limpio,pilar,total_respuestas,NEG,NEU,POS,%_NEG,%_NEU,%_POS,sentimiento_predominante
#Subte | Línea B: Servicio limitado entre las estaciones Leandro N. Alem y Federico Lacroze,Transporte,5,2,3,0,40.0,60.0,0.0,NEU
#Subte | Línea B: Servicio normalizado,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#Subte | Línea B: Viernes y Sábado con horario extendido. Malabia cerrada por obras de renovación..,Transporte,10,5,5,0,50.0,50.0,0.0,NEG
#Subte | Línea C: Servicio con demora,Transporte,1,1,0,0,100.0,0.0,0.0,NEG
#Subte | Línea D: Estación Tribunales cerrada por obras de renovación integral.,Transporte,9,6,3,0,66.66666666666666,33.33333333333333,0.0,NEG
#Subte | Línea D: Servicio con demora,Transporte,14,11,1,2,78.57142857142857,7.142857142857142,14.285714285714285,NEG
#Subte | Línea D: Servicio limitado entre Catedral - Agüero Palermo - Congreso de Tucumán,Transporte,4,1,2,1,25.0,50.0,25.0,NEU
#Subte | Línea D: Servicio normalizado,Transporte,6,5,1,0,83.33333333333334,16.666666666666664,0.0,NEG
0,Transporte,5,1,4,0,20.0,80.0,0.0,NEU
2,Transporte,1,0,1,0,0.0,100.0,0.0,NEU
"34° ANIVERSARIO DEL ATENTADO A LA EMBAJADA DE ISRAEL ⛔Ya hay #corte total de Arroyo entre Pellegrini y Suipacha, para la conmemoración de mañana 17 de Marzo. En el ataque terrorista de 1992 murieron 29 personas y hubo más de 240 heridos.",Transporte,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
"Hola, gracias por tu mensaje. Por favor, podrías indicarnos, vía DM, en qué línea, estación y hacia dónde ibas. Si lo recordás, el horario aproximado también nos sería de utilidad.",Transporte,4,2,2,0,50.0,50.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,8,8,0,0,100.0,0.0,0.0,NEG
,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
"Hola! Cómo estás? En ese punto está trabajando la empresa Edenor con permiso vigente hasta fin de mes. De todos modos, seguimos monitoreando la zona. Gracias por escribirme.",Ambiente,2,1,1,0,50.0,50.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto foto de cómo quedó la zona. Saludos!,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
"Hola, gracias por tu mensaje. Por favor, podrías indicarnos, vía DM, en qué línea, estación y hacia dónde ibas.",Transporte,15,11,4,0,73.33333333333333,26.666666666666668,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto foto de cómo quedó la zona. Saludos!,Ambiente,15,15,0,0,100.0,0.0,0.0,NEG
"Hola, gracias por tu mensaje. Por favor, podrías indicarnos, vía DM, en qué línea, estación y hacia dónde ibas. Si lo recordás, el horario aproximado también nos sería de utilidad.",Transporte,1,1,0,0,100.0,0.0,0.0,NEG
Hola. Te escribo por mensaje privado. Saludos,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
Cómo registrada... por ahora.,Transporte,5,3,2,0,60.0,40.0,0.0,NEG
"Hola, la Línea D funciona con demora por una formación detenida debido a una causa técnica. Estamos trabajando para resolverlo lo antes posible. Lamentamos esta situación, apenas lo normalicemos lo comunicaremos. También podés verlo en nuestra App o la web:",Transporte,4,4,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,1,1,0,50.0,50.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,1,1,0,50.0,50.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola Gabi. Ya notificamos a Telecom y se solucionó el tema. Te muestro foto de cómo quedó. Saludos!,Ambiente,2,0,2,0,0.0,100.0,0.0,NEU
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,9,8,1,0,88.88888888888889,11.11111111111111,0.0,NEG
"Antes que nada, gracias por avisarme de la situación. Hicimos un operativo en la zona porque la calle no es un lugar para vivir y queremos devolver la tranquilidad a los vecinos. Mi equipo, junto con otras áreas de gobierno, va a seguir presente para que todo se mantenga en",Ambiente,2,2,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,3,2,0,1,66.66666666666666,0.0,33.33333333333333,NEG
"Hola, la Línea D funciona con demora por una formación detenida debido a una causa técnica. Estamos trabajando para resolverlo lo antes posible. Lamentamos esta situación, apenas lo normalicemos lo comunicaremos. También podés verlo en nuestra App o la web:",Transporte,2,2,0,0,100.0,0.0,0.0,NEG
Vamooooossssss,Cultura,15,0,14,1,0.0,93.33333333333333,6.666666666666667,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,101,68,29,4,67.32673267326733,28.71287128712871,3.9603960396039604,NEG
Nuestro equipo ya resolvió el reclamo. Se realizó la desratización y posterior limpieza. Vamos a darle mantenimiento para garantizar que quede en las mismas condiciones. Saludos!,Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,0,2,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,0,2,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Mi equipo ya resolvió el reclamo. Comparto foto de cómo quedó el lugar. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Mi equipo ya resolvió el reclamo. Comparto foto de cómo quedó el lugar. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Mi equipo ya resolvió el reclamo. Comparto foto de cómo quedó el lugar. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto foto de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,0,2,0,0.0,100.0,0.0,NEU
Hola! Mi equipo ya resolvió el reclamo. Comparto foto de cómo quedó el lugar. Saludos!,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
"Hola, Adriana. ¿Cómo estás? Traslado el tema al equipo para que pueda ir al lugar y revisar lo que me comentás. Te mantengo al tanto de los avances. Un abrazo!",Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
"Hola, ya di aviso al equipo y te mantengo al tanto. Saludos.",Ambiente,12,11,0,1,91.66666666666666,0.0,8.333333333333332,NEG
Traslado el tema al equipo para que pueda ir al lugar y revisar lo que me comentás. Te mantengo al tanto de los avances. Un abrazo!,Ambiente,3,3,0,0,100.0,0.0,0.0,NEG
Hola. Te cuento que el contenedor de Roosevelt 4815 estará ubicado en Cullen 4871 mientras dure la obra. Saludos!,Ambiente,5,4,0,1,80.0,0.0,20.0,NEG
"Hola, mi equipo realizó un nuevo operativo en la zona. Vamos a continuar coordinando acciones con las distintas áreas del Gobierno que intervienen en este tipo de situaciones. Saludos",Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
"Hola, mi equipo realizó un nuevo operativo en la zona. Vamos a continuar coordinando acciones con las distintas áreas del Gobierno que intervienen en este tipo de situaciones. Saludos",Ambiente,1,0,0,1,0.0,0.0,100.0,POS
Hacelo por la web de TelePASE,Transporte,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NEU
"Hola, cómo estás? En Flores estamos llevando adelante un plan de readoquinado por etapas para mejorar el estado de las calles. Hoy hay 2 trazas en ejecución, 3 ya finalizadas, 3 programadas y otras 3 próximas a iniciarse. Es un proceso que se va haciendo por tramos. Tomo lo",Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola . Nuestro equipo de Higiene ya barrió la zona. Acá van algunas fotos de cómo quedó después de los trabajos. Saludos,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,3,3,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,2,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Te pido si me podés indicar la dirección exacta para poder relevar la situación. Te mantengo al tanto. Saludos,Ambiente,4,4,0,0,100.0,0.0,0.0,NEG
Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,3,1,0,2,33.33333333333333,0.0,66.66666666666666,POS
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
"Hola Ruben, te respondimos vía DM. Saludos.",Transporte,1,1,0,0,100.0,0.0,0.0,NEG
"Hola, Marcela. Gracias por el aviso. Ya lo compartí al equipo. Te voy contando los avances por mensaje privado. Saludos.",Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
"Hola, lo paso al equipo para que releve. Gracias por el aviso.",Ambiente,2,0,1,1,0.0,50.0,50.0,NEU
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,7,6,1,0,85.71428571428571,14.285714285714285,0.0,NEG
Es Mickey!,Transporte,180,17,150,13,9.444444444444445,83.33333333333334,7.222222222222221,NEU
Hola Sol. Gracias por dar aviso. Ya le pasé el tema al equipo de higiene para que pueda acercarse y solucionarlo. Saludos.,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,3,3,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo resolvió el reclamo de higienización y evaluó que su ubicación actual del contenedor es la adecuada según la recolección y el uso en esa cuadra. Saludos,Ambiente,17,17,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,10,10,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,8,8,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,3,3,0,0,100.0,0.0,0.0,NEG
Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,0,2,0,0.0,100.0,0.0,NEU
"Hola Ale. Por favor, ¿podrías indicarnos en qué línea, estación y sentido viajabas cuando tuviste el inconveniente? Desde ya, agradecemos tu colaboración.",Transporte,1,0,1,0,0.0,100.0,0.0,NEU
"Hola, . Vimos el reclamo. Por la cantidad de bolsas que hay en el lugar, excede lo que puede retirar el servicio habitual de Higiene Urbana (hasta 15). En estos casos corresponde que quien realizó la obra contrate un volquete privado para el retiro. De todos modos,",Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
"🚆⚠️ Tren Mitre: Continúan las obras y el ingreso a Retiro seguirá restringido 👀 Conocé cómo afectan las pruebas al servicio, qué ramales circulan y cuándo se espera normalizar el ingreso a Retiro▶️ . #AlertasTransito",Transporte,1,0,1,0,0.0,100.0,0.0,NEU
Agradecemos tu comentario y lamentamos los inconvenientes. Ya informamos al sector correspondiente. Saludos.,Transporte,10,7,3,0,70.0,30.0,0.0,NEG
Te pido si me podés indicar la dirección exacta para poder relevar la situación. Te mantengo al tanto. Saludos,Ambiente,55,41,12,2,74.54545454545455,21.818181818181817,3.6363636363636362,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,3,3,0,0,100.0,0.0,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,2,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,3,0,3,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto foto de cómo quedó la zona. Saludos!,Ambiente,5,5,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,5,5,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,36,36,0,0,100.0,0.0,0.0,NEG
"Hola! Mi equipo resolvió el reclamo. Con respecto a la mala disposición, te mantengo al tanto. Saludos!",Ambiente,4,3,1,0,75.0,25.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,0,1,1,0.0,50.0,50.0,NEU
Gracias por tu comentario. Ya informamos al sector correspondiente. Saludos.,Transporte,4,2,0,2,50.0,0.0,50.0,NEG
"Hola, la Línea D funciona con demora por una formación detenida debido a una causa técnica. Estamos trabajando para resolverlo lo antes posible. Lamentamos esta situación, apenas lo normalicemos lo comunicaremos. También podés verlo en nuestra App o la web:",Transporte,1,1,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,2,0,0,100.0,0.0,0.0,NEG
Gracias por tu comentario. Ya informamos al sector correspondiente. Saludos.,Transporte,4,2,2,0,50.0,50.0,0.0,NEG
"Hola, la Línea D circula con demora debido a una causa técnica en una formación. Estamos trabajando para resolverlo lo antes posible. Lamentamos esta situación, apenas lo normalicemos lo comunicaremos. También podés verlo en nuestra App o la web:",Transporte,10,9,1,0,90.0,10.0,0.0,NEG
"Lamentablemente, no",Transporte,24,17,5,2,70.83333333333334,20.833333333333336,8.333333333333332,NEG
Polo track?,Transporte,2,0,1,1,0.0,50.0,50.0,NEU
Nuestro equipo ya resolvió el reclamo. Se realizó la desratización y posterior limpieza. Vamos a darle mantenimiento para garantizar que quede en las mismas condiciones. Saludos!,Ambiente,2,1,1,0,50.0,50.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,1,0,0.0,100.0,0.0,NEU
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,4,2,2,0,50.0,50.0,0.0,NEG
"Hola, te pido que me mandes por privado la dirección, por favor, así puedo revisar el tema y contarte por qué se hicieron los trabajos. Gracias.",Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola. Nuestro equipo ya resolvió el reclamo. Te comparto fotos para que veas cómo quedó la zona. Saludos!,Ambiente,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NEU
"Hola! No quería dejar de avisarte que el área ya resolvió tu reclamo sobre la basura mal dispuesta en el contenedor. Nosotros hacemos nuestra parte, pero también depende del compromiso del vecino cuidar lo que es de todos. Nuevamente te agradezco el aviso. Un abrazo.",Ambiente,6,0,5,1,0.0,83.33333333333334,16.666666666666664,NEU
Hola! nuestro equipo resolvió los reclamos. Saludos,Ambiente,100,74,11,15,74.0,11.0,15.0,NEG
Agradecemos tu comentario y lamentamos los inconvenientes. Ya informamos al sector correspondiente. Saludos.,Transporte,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NEU
Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,2,1,1,0,50.0,50.0,0.0,NEG
"Hola, ya di aviso al equipo y te mantengo al tanto. Saludos.",Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
Hola. Te escribo por mensaje privado. Saludos,Ambiente,1,1,0,0,100.0,0.0,0.0,NEG
Hola! Nuestro equipo ya resolvió el reclamo. Comparto fotos de cómo quedó la zona. Saludos!,Ambiente,1,0,0,1,0.0,0.0,100.0,POS
"Hola Sabrina, Cómo estás? El servicio ya funciona con recorrido completo. Saludos!",Transporte,11,9,2,0,81.81818181818183,18.181818181818183,0.0,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,2,1,0,1,50.0,0.0,50.0,NEG
"Hola, ya di aviso al equipo y te mantengo al tanto. Saludos.",Ambiente,7,4,2,1,57.14285714285714,28.57142857142857,14.285714285714285,NEG
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,9,3,5,1,33.33333333333333,55.55555555555556,11.11111111111111,NEU
"Hola, lo paso al equipo para que releve. Gracias por el aviso. Saludos",Ambiente,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NEU
Hola! nuestro equipo resolvió el reclamo. Saludos,Ambiente,8,7,1,0,87.5,12.5,0.0,NEG
